autores,titulo,ano,tipo,orientador,quantidade,local,numero,localizacao,idioma
"GARCIA, José Paulo Marsola",Análise geomorfológica de distribuição espacial da vegetação na planície litorânea de Picinguaba (Ubatuba - SP),1995,M,Prof. Dr. Jurandyr L. Sanches Ross,1,São Paulo,,,PT-BR
"GARCIA, José Paulo Marsola.",A Geomorfologia Como Instrumento de Identificação de Unidades Físico-Naturais em Florestas Úmidas...,2000,D,Prof. Dr. Jurandyr Luciano Sanches Ross,1,São Paulo,,,PT-BR
"GIMENES, Ana Cristina Wigneron","Estudo da Morfologia, Materiais e Processos em uma Estrutura de Relevo Cristalina: ""Mestre Álvaro"", Município Serra, ES, Brasil",2001,M,Prof. Dr. Adilson Avansi de Abreu,1,São Paulo,,,PT-BR
"GIROLDO, Larissa","Terracetes de pisoteio de gado e mudanças morfo-pedológicas em vertente amostral na bacia hidrográfica do rio Jacareí, Serra da Mantiqueira - SP",2013,M,Profa. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
"GOES, Maria Hilde de Barros",Diagnóstico ambiental por geoprocessamento do município de Itaguaí (RJ) Vol. I e II,1994,D,,1,Rio Claro,,,PT-BR
"GOLDENSTEIN, Léa",Estudo de um centro industrial satélite: Cubatão,1970,D,Prof. Dr. Pasquale Petrone,1,São Paulo,,,PT-BR
"GOMES, Marcelo Moreira",Expansão urbna e impacto ambiental na Bacia hidrográfica do Rio jacaré - RJ,2000,M,Prof. Dr. Eduardo Yázigi,1,São Paulo,,,PT-BR
"GOMES, Marcelo Moreira",Expansão Urbana e Impacto Ambiental na Bacia Hidrográfica do Rio Jacaré - RJ,2000,M,Prof. Dr. Eduardo Yázigi,1,São Paulo,,,PT-BR
"GONÇALVES, Diego Lustre ",Monitoramento de Áreas de Proteção Ambiental através de Indicadores de Sustentabilidade,2014,M,Prof. Dr. Luis Antonio Bittar Venturi,1,São Paulo,,,PT-BR
"GONTIJO, Ambrosina Helena Ferreira","Morfotectônica do Médio Vale do Paraíba do Sul: Região da Serra da Bocaina, Estados de São Paulo e Rio de Janeiro",1999,D,Prof. Dr. Yociteru Hasui,1,Rio Claro,,,PT-BR
"GONTIJO, Ambrosina Helena Ferreira.",O Relevo da Serra do Cipó - MG. Espinhaço Meridional,1993,M,Prof. Dr. Jurandyr L. Sanches Ross,1,São Paulo,,,PT-BR
"GOULART, Antônio Celso de Oliveira",Geomorfologia da Bacia hidrográfica do Ribeirão do Pinhal - Município de Limeira - SP,1999,M,Prof. Dr. Adilson Avansi de Abreu,2,São Paulo,,,PT-BR
"GOUVEIA, Isabel Cristina Morroz-Caccia",Da originalidade do sitio urbano de São Paulo as formas antropicas: aplicaçao da abordagem da geomorfologia Antropogenica na bacia hifrografica do Rio Tamanduatei na regiao Metropolitana de São Paulo,2010,D,Profª. Dra. Cleide Rodrigues,1,São Paulo,,,PT-BR
